#{"t_start": 1757859302.6843524, "env_id": "None"}
r,l,t
-0.799904,199,2.49613
-0.799909,199,2.612127
-0.799919,199,2.730125
-0.79992,199,2.850465
-0.799916,199,2.967469
-0.799919,199,3.093874
-0.799906,199,3.225873
-0.799907,199,3.353239
-0.799895,199,3.52127
-0.799893,199,3.664395
-0.79989,199,4.835875
-0.799916,199,5.005491
-0.799897,199,5.232321
-0.799912,199,5.363372
-0.799899,199,5.497372
-0.79992,199,5.630379
-0.799899,199,5.762558
-0.799899,199,5.887558
-0.799898,199,6.010099
-0.799897,199,6.13833
-0.799907,199,7.14048
-0.799905,199,7.280815
-0.79989,199,7.407809
-0.799895,199,7.537813
-0.799914,199,7.656806
-0.799913,199,7.773801
-0.799898,199,7.891811
-0.79989,199,8.009238
-0.799917,199,8.135012
-0.799887,199,8.260021
-0.7999,199,9.21963
-0.799899,199,9.376825
-0.799913,199,9.510994
-0.799905,199,9.647714
-0.799906,199,9.780533
-0.799914,199,9.936626
-0.799904,199,10.074806
-0.799894,199,10.210796
-0.799897,199,10.383934
-0.799912,199,10.528131
-0.799888,199,10.673668
-0.799904,199,11.760656
-0.799905,199,11.908831
-0.799911,199,12.071707
-0.799878,199,12.220481
-0.799905,199,12.363385
-0.79989,199,12.511836
-0.79988,199,12.670498
-0.79989,199,12.829225
-0.799914,199,13.004223
-0.79991,199,13.170559
-0.799905,199,14.308253
-0.799902,199,14.517127
-0.799912,199,14.709152
-0.799892,199,14.897806
-0.79989,199,15.061178
-0.799904,199,15.21146
-0.799913,199,15.398809
-0.799903,199,15.575853
-0.799903,199,15.732236
-0.79992,199,15.890035
-0.799912,199,17.014806
-0.799917,199,17.167118
-0.799903,199,17.330367
-0.799906,199,17.466359
-0.799888,199,17.601543
-0.799903,199,17.756779
-0.79989,199,17.89474
-0.799902,199,18.055989
-0.799901,199,18.205248
-0.799899,199,18.366493
-0.799908,199,18.508489
-0.799919,199,19.589363
-0.799914,199,19.762467
-0.799918,199,19.906463
-0.799899,199,20.039467
-0.799889,199,20.175553
-0.799906,199,20.31047
-0.799905,199,20.436397
-0.799889,199,20.5684
-0.799922,199,20.686399
-0.799896,199,20.811409
-0.799905,199,21.759716
-0.799902,199,21.900899
-0.799922,199,22.027944
-0.799902,199,22.155618
-0.799907,199,22.274616
-0.799923,199,22.393624
-0.799928,199,22.516145
-0.799903,199,22.635136
-0.799902,199,22.763602
-0.799903,199,22.883603
-0.799903,199,23.849752
-0.799904,199,23.987691
-0.799901,199,24.11169
-0.799879,199,24.235702
-0.799891,199,24.357913
-0.799894,199,24.475918
-0.799888,199,24.595914
-0.799912,199,24.713922
-0.7999,199,24.843733
-0.7999,199,24.969728
-0.79989,199,25.917772
-0.799914,199,26.059602
-0.799902,199,26.190589
-0.799893,199,26.328733
-0.799888,199,26.451735
-0.799899,199,26.570741
-0.799893,199,26.693785
-0.799881,199,26.813314
-0.799897,199,26.933886
-0.799886,199,27.070184
-0.799882,199,27.190282
-0.799876,199,28.145461
-0.799882,199,28.282139
-0.79987,199,28.410208
-0.799885,199,28.545286
-0.799869,199,28.664283
-0.799887,199,28.780284
-0.799894,199,28.899291
-0.799903,199,29.045654
-0.799908,199,29.186089
-0.799879,199,29.30209
-0.799882,199,30.271395
-0.799875,199,30.415984
-0.799888,199,30.548973
-0.79988,199,30.676982
-0.799904,199,30.795972
-0.799896,199,30.912972
-0.799891,199,31.028985
-0.799911,199,31.146589
-0.799891,199,31.277028
-0.799888,199,31.403033
-0.799883,199,32.399818
-0.799902,199,32.549198
-0.799882,199,32.676199
-0.799896,199,32.798199
-0.799902,199,32.953775
-0.799876,199,33.156854
-0.799882,199,33.285359
-0.799893,199,33.43072
-0.799889,199,33.569357
-0.799893,199,33.742368
-0.799873,199,33.912303
-0.799886,199,35.283
-0.79989,199,35.42357
-0.79989,199,35.543839
-0.799893,199,35.664794
-0.799916,199,35.784637
-0.799875,199,35.906646
-0.799876,199,36.029639
-0.799888,199,36.16965
-0.799882,199,36.307649
-0.7999,199,36.431643
-0.799887,199,37.342171
-0.799877,199,37.47137
-0.799879,199,37.587375
-0.799884,199,37.709371
-0.799892,199,37.826369
-0.799891,199,37.947992
-0.79987,199,38.064994
-0.799875,199,38.181987
-0.799898,199,38.307268
-0.799875,199,38.432703
-0.799878,199,39.304941
-0.799897,199,39.436385
-0.799885,199,39.554388
-0.799904,199,39.670394
-0.799886,199,39.814388
-0.799899,199,39.93756
-0.799902,199,40.053562
-0.799903,199,40.176553
-0.799914,199,40.300235
-0.799894,199,40.426053
-0.799886,199,41.314338
-0.799877,199,41.450015
-0.799887,199,41.570408
-0.799894,199,41.690415
-0.799882,199,41.806938
-0.799873,199,41.9239
-0.799916,199,42.043897
-0.7999,199,42.160996
-0.799882,199,42.276991
-0.799884,199,42.406991
-0.799874,199,42.527989
-0.799886,199,43.429314
-0.799908,199,43.554324
-0.799885,199,43.671881
-0.799897,199,43.787868
-0.799869,199,43.907687
-0.799891,199,44.026678
-0.799869,199,44.143682
-0.79987,199,44.261691
-0.799878,199,44.385029
-0.799885,199,44.510036
-0.799913,199,45.430259
-0.799919,199,45.557259
-0.799904,199,45.67327
