#{"t_start": 1757859360.127839, "env_id": "None"}
r,l,t
-0.466994,199,1.114735
-0.461368,199,3.261191
-0.459527,199,5.379784
-0.415128,199,7.49995
-0.462534,199,9.690421
-0.487901,199,11.887019
-0.457159,199,14.144412
-0.463929,199,16.382662
-0.486357,199,18.613402
-0.456136,199,20.812636
-0.477287,199,23.006559
-0.433936,199,25.228666
-0.42021,199,27.454359
-0.45137,199,29.659066
-0.490495,199,31.887429
-0.48999,199,34.072267
-0.460939,199,36.32919
-0.460725,199,38.51455
-0.468842,199,40.708522
-0.460924,199,43.038308
-0.413806,199,45.265095
-0.460557,199,47.480717
-0.440962,199,49.709679
-0.47992,199,51.995153
-0.479039,199,54.215149
-0.460561,199,56.513784
-0.464369,199,58.761955
-0.475003,199,60.946768
-0.474936,199,63.226228
-0.472485,199,65.420477
-0.488301,199,67.608506
-0.457472,199,69.890136
-0.479784,199,72.175442
-0.484939,199,74.556724
-0.449598,199,76.78933
-0.468875,199,79.069393
-0.462589,199,81.292061
-0.46884,199,83.497782
-0.47624,199,85.768699
-0.476771,199,87.97308
-0.489899,199,90.212982
-0.469079,199,92.422437
-0.469497,199,94.614936
-0.476537,199,96.850355
-0.438948,199,99.037108
-0.478177,199,101.275585
-0.450986,199,103.520319
-0.457804,199,105.720184
-0.469243,199,107.986722
-0.486473,199,110.163861
-0.490673,199,112.379586
-0.478027,199,114.564548
-0.495936,199,116.828671
-0.461853,199,119.045722
-0.459213,199,121.227372
-0.497914,199,123.446131
-0.467868,199,125.650009
-0.480911,199,128.08161
-0.476825,199,130.329944
-0.487111,199,132.546905
-0.488409,199,134.781654
-0.478413,199,136.9579
-0.514367,199,139.225546
-0.481803,199,141.436894
-0.474359,199,143.740242
-0.520159,199,145.940502
-0.49551,199,148.128088
-0.525226,199,150.354526
-0.487709,199,152.551026
-0.469658,199,154.822002
-0.504262,199,157.023346
-0.484696,199,159.273516
-0.499004,199,161.519248
-0.467133,199,163.716462
-0.486715,199,165.961978
-0.490035,199,168.19355
-0.493727,199,170.420844
-0.515582,199,172.661854
-0.500525,199,174.898126
-0.512244,199,177.169054
-0.512199,199,179.368839
-0.506983,199,181.637838
-0.501206,199,183.837313
-0.517645,199,186.060024
-0.525311,199,188.317286
-0.522337,199,190.512966
-0.539117,199,192.811721
-0.524086,199,195.013019
-0.523596,199,197.232499
-0.513074,199,199.494806
-0.540261,199,201.719431
-0.529093,199,203.985175
-0.528281,199,206.187688
-0.510288,199,208.470068
-0.517748,199,210.664674
-0.518075,199,212.872854
-0.512881,199,215.111206
-0.522377,199,217.32315
-0.523925,199,219.704665
-0.522796,199,222.15006
-0.521019,199,224.569157
-0.522422,199,226.875079
-0.502986,199,229.1539
-0.519972,199,231.49175
-0.511319,199,233.786501
-0.515644,199,236.103725
-0.51205,199,238.415858
-0.514487,199,240.721043
-0.513305,199,243.033736
-0.508228,199,245.32546
-0.492782,199,247.613918
-0.49831,199,249.883098
-0.503349,199,252.213863
-0.506897,199,254.507798
-0.514666,199,256.82408
-0.497427,199,259.08794
-0.499739,199,261.410887
-0.494629,199,263.873218
-0.494033,199,266.455486
-0.500841,199,268.784743
-0.502209,199,271.07818
-0.492521,199,273.381608
-0.501992,199,275.664906
-0.48557,199,277.956439
-0.481654,199,280.241548
-0.487105,199,282.504721
-0.508149,199,284.814321
-0.486621,199,287.079969
-0.495214,199,289.399053
-0.466594,199,291.712959
-0.485302,199,293.991142
-0.476658,199,296.324076
-0.481769,199,298.616502
-0.477037,199,300.938586
-0.484974,199,303.238666
-0.484994,199,305.573115
-0.481876,199,307.878964
-0.484678,199,310.138645
-0.471995,199,312.481407
-0.476918,199,314.708772
-0.476509,199,317.03804
-0.476411,199,319.297216
-0.474266,199,321.600407
-0.4746,199,323.864081
-0.452184,199,326.150032
-0.464474,199,328.486236
-0.452139,199,330.768065
-0.453837,199,333.096059
-0.462843,199,335.36781
-0.460978,199,337.71096
-0.43492,199,340.016356
-0.473348,199,342.296187
-0.443314,199,344.62977
-0.442057,199,346.898491
-0.454906,199,349.218739
-0.446576,199,351.513146
-0.466075,199,353.824343
-0.450628,199,356.186222
-0.458959,199,358.494156
-0.459181,199,360.822591
-0.460152,199,363.155355
-0.471473,199,365.472831
-0.462149,199,367.746192
-0.437923,199,370.071213
-0.445985,199,372.331739
-0.438284,199,374.598772
-0.441006,199,376.903201
-0.468083,199,379.193924
-0.440237,199,381.534654
-0.443289,199,383.810138
-0.454361,199,386.087754
-0.485344,199,388.395936
-0.457183,199,390.687034
-0.446702,199,393.085022
-0.438171,199,395.454966
-0.43089,199,397.906233
-0.416281,199,400.551755
-0.481791,199,402.955686
-0.416539,199,405.267887
-0.434358,199,407.70708
-0.415928,199,409.982184
-0.426449,199,412.308156
-0.445257,199,414.670143
-0.439055,199,416.9868
-0.469747,199,419.444042
-0.426403,199,421.846064
-0.480939,199,424.415436
-0.429634,199,426.970822
-0.475291,199,429.441539
-0.542188,199,432.065158
-0.428561,199,434.79064
-0.430434,199,437.151101
-0.416151,199,439.478834
-0.417444,199,441.748276
-0.446701,199,444.008479
-0.436584,199,446.382912
-0.410528,199,449.577458
-0.426148,199,452.212662
-0.419745,199,454.566381
-0.414913,199,457.357678
-0.432257,199,459.811891
