Step,Action,Temperature (°C),Reward,Total Energy (Wh)
1,1,20.717017208413,-0.0050100000000000006,0.8333333333333334
2,1,21.433177560697402,-0.0050100000000000006,1.6666666666666667
3,1,22.148482080820852,-0.0050100000000000006,2.5
4,1,22.862931791527327,-0.0050100000000000006,3.3333333333333335
5,1,23.5765277143386,-0.0050100000000000006,4.166666666666667
6,1,24.28927086955569,-0.0050100000000000006,5.0
7,1,25.00116227626033,-0.0050100000000000006,5.833333333333333
8,1,25.712202952316424,-0.0050100000000000006,6.666666666666667
9,1,26.422393914371497,-0.0050100000000000006,7.5
10,1,27.131736177858148,-0.0050100000000000006,8.333333333333334
11,1,27.840230756995506,-0.0050100000000000006,9.166666666666666
12,1,28.547878664790684,-0.0050100000000000006,10.0
13,1,29.254680913040218,-0.0050100000000000006,10.833333333333334
14,1,29.960638512331517,-0.0050100000000000006,11.666666666666666
15,1,30.665752472044314,-0.0050100000000000006,12.5
16,1,31.3700238003521,-0.0050100000000000006,13.333333333333334
17,1,32.07345350422357,-0.0050100000000000006,14.166666666666666
18,1,32.77604258942407,-0.0050100000000000006,15.0
19,1,33.47779206051702,-0.0050100000000000006,15.833333333333334
20,1,34.17870292086535,-0.0050100000000000006,16.666666666666668
21,1,34.87877617263295,-0.0050100000000000006,17.5
22,1,35.578012816786114,-0.0050100000000000006,18.333333333333332
23,1,36.27641385309492,-0.0050100000000000006,19.166666666666668
24,1,36.973980280134725,-0.0050100000000000006,20.0
25,1,37.670713095287525,-0.0050100000000000006,20.833333333333332
26,1,38.366613294743445,-0.0050100000000000006,21.666666666666668
27,1,39.06168187350212,-0.0050100000000000006,22.5
28,1,39.75591982537413,-0.0050100000000000006,23.333333333333332
29,1,40.44932814298243,-0.0050100000000000006,24.166666666666668
30,1,41.14190781776376,-0.0050100000000000006,25.0
31,1,41.83365983997006,-0.0050100000000000006,25.833333333333332
32,1,42.524585198669904,-0.0050100000000000006,26.666666666666668
33,1,43.21468488174989,-0.0050100000000000006,27.5
34,1,43.90395987591606,-0.0050100000000000006,28.333333333333332
35,1,44.592411166695314,-0.0050100000000000006,29.166666666666668
36,1,45.280039738436834,-0.0050100000000000006,30.0
37,1,45.966846574313465,-0.0050100000000000006,30.833333333333332
38,1,46.65283265632313,-0.0050100000000000006,31.666666666666668
39,1,47.33799896529024,-0.0050100000000000006,32.5
40,1,48.02234648086709,-0.0050100000000000006,33.333333333333336
41,1,48.705876181535274,-0.0050100000000000006,34.166666666666664
42,1,49.38858904460705,-0.0050100000000000006,35.0
43,1,50.07048604622678,-0.0050100000000000006,35.833333333333336
44,1,50.751568161372305,-0.0050100000000000006,36.666666666666664
45,1,51.43183636385633,-0.0050100000000000006,37.5
46,1,52.11129162632782,-0.0050100000000000006,38.333333333333336
47,1,52.78993492027341,-0.0050100000000000006,39.166666666666664
48,1,53.46776721601878,-0.0050100000000000006,40.0
49,1,54.14478948273004,-0.0050100000000000006,40.833333333333336
50,1,54.82100268841511,-0.0050100000000000006,41.666666666666664
51,1,55.49640779992513,-0.0050100000000000006,42.5
52,1,56.17100578295581,-0.0050100000000000006,43.333333333333336
53,1,56.844797602048835,-0.0050100000000000006,44.166666666666664
54,1,57.517784220593235,-0.0050100000000000006,45.0
55,1,58.18996660082675,-0.0050100000000000006,45.833333333333336
56,1,58.86134570383724,-0.0050100000000000006,46.666666666666664
57,1,59.53192248956401,-0.0050100000000000006,47.5
58,1,60.20169791679923,-0.0050100000000000006,48.333333333333336
59,1,60.87067294318929,-0.0050100000000000006,49.166666666666664
60,1,61.53884852523615,-0.0050100000000000006,50.0
61,1,62.206225618298724,-0.0050100000000000006,50.833333333333336
62,1,62.872805176594255,-0.0050100000000000006,51.666666666666664
63,1,63.53858815319966,-0.0050100000000000006,52.5
64,1,64.2035755000529,-0.0050100000000000006,53.333333333333336
65,1,64.86776816795437,-0.0050100000000000006,54.166666666666664
66,1,65.53116710656819,-0.0050100000000000006,55.0
67,1,66.19377326442363,-0.0050100000000000006,55.833333333333336
68,1,66.85558758891642,-0.0050100000000000006,56.666666666666664
69,1,67.51661102631016,-0.0050100000000000006,57.5
70,1,68.1768445217376,-0.0050100000000000006,58.333333333333336
71,1,68.83628901920207,-0.0050100000000000006,59.166666666666664
72,1,69.49494546157874,-0.0050100000000000006,60.0
73,1,70.15281479061605,-0.0050100000000000006,60.833333333333336
74,1,70.80989794693701,-0.0050100000000000006,61.666666666666664
75,1,71.46619587004058,-0.0050100000000000006,62.5
76,1,72.12170949830296,-0.0050100000000000006,63.333333333333336
77,1,72.77643976897899,-0.0050100000000000006,64.16666666666667
78,1,73.43038761820344,-0.0050100000000000006,65.0
79,1,74.08355398099239,-0.0050100000000000006,65.83333333333333
80,1,74.73593979124455,-0.0050100000000000006,66.66666666666667
81,1,75.38754598174258,-0.0050100000000000006,67.5
82,1,76.03837348415445,-0.0050100000000000006,68.33333333333333
83,1,76.68842322903475,-0.0050100000000000006,69.16666666666667
84,1,77.33769614582606,-0.0050100000000000006,70.0
85,1,77.9861931628602,-0.0050100000000000006,70.83333333333333
86,1,78.63391520735965,-0.0050100000000000006,71.66666666666667
87,1,79.2808632054388,-0.0050100000000000006,72.5
88,1,79.92703808210534,-0.0050100000000000006,73.33333333333333
89,1,80.57244076126152,-0.0050100000000000006,74.16666666666667
90,1,81.21707216570552,-0.0050100000000000006,75.0
91,1,81.86093321713274,-0.0050100000000000006,75.83333333333333
92,1,82.50402483613712,-0.0050100000000000006,76.66666666666667
93,1,83.14634794221249,-0.0050100000000000006,77.5
94,1,83.78790345375381,-0.0050100000000000006,78.33333333333333
95,1,84.4286922880586,-0.0050100000000000006,79.16666666666667
96,1,85.06871536132813,-0.0050100000000000006,80.0
97,1,85.7079735886688,-0.0050100000000000006,80.83333333333333
98,1,86.34646788409344,-0.0050100000000000006,81.66666666666667
99,1,86.98419916052258,-0.0050100000000000006,82.5
100,1,87.62116832978582,-0.0050100000000000006,83.33333333333333
101,1,88.25737630262307,-0.0050100000000000006,84.16666666666667
102,1,88.8928239886859,-0.0050100000000000006,85.0
103,1,89.52751229653882,-0.0050100000000000006,85.83333333333333
104,1,90.16144213366054,-0.0050100000000000006,86.66666666666667
105,1,90.79461440644536,-0.0050100000000000006,87.5
106,1,91.42703002020438,-0.0050100000000000006,88.33333333333333
107,1,92.05868987916685,-0.0050100000000000006,89.16666666666667
108,1,92.68959488648142,-0.0050100000000000006,90.0
109,1,93.31974594421746,-0.0050100000000000006,90.83333333333333
110,1,93.94914395336635,-0.0050100000000000006,91.66666666666667
111,1,94.57778981384273,-0.0050100000000000006,92.5
112,1,95.20568442448584,-0.0050100000000000006,93.33333333333333
113,1,95.83282868306078,-0.0050100000000000006,94.16666666666667
114,1,96.4592234862598,-0.0050100000000000006,95.0
115,1,97.08486972970357,-0.0050100000000000006,95.83333333333333
116,1,97.70976830794245,-0.0050100000000000006,96.66666666666667
117,1,98.33392011445783,-0.0050100000000000006,97.5
118,1,98.95732604166331,-0.0050100000000000006,98.33333333333333
119,1,99.57998698090606,-0.0050100000000000006,99.16666666666667
120,1,100.20190382246807,-0.0050100000000000006,100.0
121,1,100.82307745556741,-0.0050100000000000006,100.83333333333333
122,1,101.44350876835952,-0.0050100000000000006,101.66666666666667
123,1,102.06319864793844,-0.0050100000000000006,102.5
124,1,102.68214798033813,-0.0050100000000000006,103.33333333333333
125,1,103.30035765053371,-0.0050100000000000006,104.16666666666667
126,1,103.91782854244273,-0.0050100000000000006,105.0
127,1,104.53456153892643,-0.0050100000000000006,105.83333333333333
128,1,105.150557521791,-0.0050100000000000006,106.66666666666667
129,1,105.76581737178886,-0.0050100000000000006,107.5
130,1,106.38034196861989,-0.0050100000000000006,108.33333333333333
131,1,106.99413219093272,-0.0050100000000000006,109.16666666666667
132,1,107.60718891632597,-0.0050100000000000006,110.0
133,1,108.21951302134948,-0.0050100000000000006,110.83333333333333
134,1,108.83110538150562,-0.0050100000000000006,111.66666666666667
135,1,109.44196687125047,-0.0050100000000000006,112.5
136,1,110.05209836399516,-0.0050100000000000006,113.33333333333333
137,1,110.66150073210702,-0.0050100000000000006,114.16666666666667
138,1,111.2701748469109,-0.0050100000000000006,115.0
